采集时间,比赛编号,联赛,销售日期,比赛日期,主队,客队,mid,胜_投票数,胜_支持率,平_投票数,平_支持率,负_投票数,负_支持率,比赛状态
2026-07-11 19:20,周日209,瑞典超级联赛,2026-07-12,2026-07-12,布鲁马波卡纳,天狼星,2040494,677,6,718,6,10656,88,Selling
2026-07-11 19:24,周日209,瑞典超级联赛,2026-07-12,2026-07-12,布鲁马波卡纳,天狼星,2040494,677,6,718,6,10656,88,Selling
2026-07-11 19:29,周日209,瑞典超级联赛,2026-07-12,2026-07-12,布鲁马波卡纳,天狼星,2040494,697,6,736,6,10933,88,Selling
2026-07-12 07:10,周日209,瑞典超级联赛,2026-07-12,2026-07-12,布鲁马波卡纳,天狼星,2040494,1306,6,1283,6,19268,88,Selling
2026-07-12 07:15,周日209,瑞典超级联赛,2026-07-12,2026-07-12,布鲁马波卡纳,天狼星,2040494,1306,6,1283,6,19268,88,Selling
2026-07-12 07:20,周日209,瑞典超级联赛,2026-07-12,2026-07-12,布鲁马波卡纳,天狼星,2040494,1306,6,1283,6,19268,88,Selling
2026-07-12 07:25,周日209,瑞典超级联赛,2026-07-12,2026-07-12,布鲁马波卡纳,天狼星,2040494,1306,6,1283,6,19269,88,Selling
2026-07-12 07:30,周日209,瑞典超级联赛,2026-07-12,2026-07-12,布鲁马波卡纳,天狼星,2040494,1306,6,1283,6,19270,88,Selling
2026-07-12 07:35,周日209,瑞典超级联赛,2026-07-12,2026-07-12,布鲁马波卡纳,天狼星,2040494,1306,6,1283,6,19270,88,Selling
2026-07-12 09:06,周日209,瑞典超级联赛,2026-07-12,2026-07-12,布鲁马波卡纳,天狼星,2040494,1308,6,1287,6,19285,88,Selling
2026-07-12 14:29,周日209,瑞典超级联赛,2026-07-12,2026-07-12,布鲁马波卡纳,天狼星,2040494,5197,6,7227,8,81882,86,Selling
